Site A;Site B;Lat A;Long A;Lat B;Long B;Radio A;Radio B
FTK010;FTK002;13.775843;-16.472;13.61297;-16.41386;Q5-E;Q5-29
FTK010;KLK041;13.775843;-16.472;13.88296;-16.36755;;
KLK005;FTK006;14.15937;-16.08378;13.957911;-16.29125;;
KLK005;KLK017;14.15937;-16.08378;13.954437;-16.06673;;
KLK005;KLK018;14.15937;-16.08378;14.070467;-15.93949;;
KLK008;KLK011;14.10308;-15.7627;14.104297;-15.52632;;
KLK011;KLK025;14.104297;-15.52632;14.0702;-15.303;;
KLK014;KLK044;13.841;-16.0653;13.79588;-16.15908;;
KLK014;KLK015;13.841;-16.0653;13.725619;-16.07971;;
KLK015;KLK037;13.725619;-16.07971;13.61695;-16.07787;;
KLK016;KLK043;13.8505;-15.8525;13.7852;-15.7974;;
KLK017;KLK031;13.954437;-16.06673;13.9035;-16.07314;;
KLK018;KLK008;14.070467;-15.93949;14.10308;-15.7627;;
KLK018;KLK021;14.070467;-15.93949;13.910077;-15.92635;;
KLK019;KLK026;13.994755;-15.10923;13.964424;-14.92626;;
KLK021;KLK042;13.910077;-15.92635;13.872197;-15.87988;;
KLK025;KLK019;14.0702;-15.303;13.994755;-15.10923;;
KLK031;KLK014;13.9035;-16.07314;13.841;-16.0653;;
KLK036;KLK048;13.753509;-15.7643;13.6024;-15.60038;;
KLK041;FTK006;13.88296;-16.36755;13.957911;-16.29125;;
KLK042;KLK016;13.872197;-15.87988;13.8505;-15.8525;;
KLK043;KLK036;13.7852;-15.7974;13.753509;-15.7643;;
KLK044;FTK008;13.79588;-16.15908;13.7612;-16.267;;
